row,column,cor,p
Otu00211,Otu00218,1,0
Otu00217,Otu00226,1,0
Otu00200,Otu00236,1,0
Otu00211,Otu00247,1,0
Otu00218,Otu00247,1,0
Otu00211,Otu00248,1,0
Otu00218,Otu00248,1,0
Otu00247,Otu00248,1,0
Otu00116,Otu00253,1,0
Otu00208,Otu00257,1,0
Otu00222,Otu00274,1,0
Otu00222,Otu00286,1,0
Otu00274,Otu00286,1,0
Otu00222,Otu00297,1,0
Otu00274,Otu00297,1,0
Otu00286,Otu00297,1,0
Otu00116,Otu00331,1,0
Otu00253,Otu00331,1,0
Otu00211,Otu00354,1,0
Otu00218,Otu00354,1,0
Otu00247,Otu00354,1,0
Otu00248,Otu00354,1,0
Otu00141,Otu00365,1,0
Otu00150,Otu00366,1,0
Otu00116,Otu00367,1,0
Otu00253,Otu00367,1,0
Otu00331,Otu00367,1,0
Otu00141,Otu00393,1,0
Otu00365,Otu00393,1,0
Otu00150,Otu00403,1,0
Otu00366,Otu00403,1,0
Otu00150,Otu00408,1,0
Otu00366,Otu00408,1,0
Otu00403,Otu00408,1,0
Otu00149,Otu00415,1,0
Otu00150,Otu00421,1,0
Otu00366,Otu00421,1,0
Otu00403,Otu00421,1,0
Otu00408,Otu00421,1,0
Otu00359,Otu00425,1,0
Otu00285,Otu00431,1,0
Otu00422,Otu00436,1,0
Otu00150,Otu00451,1,0
Otu00366,Otu00451,1,0
Otu00403,Otu00451,1,0
Otu00408,Otu00451,1,0
Otu00421,Otu00451,1,0
Otu00275,Otu00454,1,0
Otu00150,Otu00476,1,0
Otu00366,Otu00476,1,0
Otu00403,Otu00476,1,0
Otu00408,Otu00476,1,0
Otu00421,Otu00476,1,0
Otu00451,Otu00476,1,0
Otu00285,Otu00479,1,0
Otu00431,Otu00479,1,0
Otu00239,Otu00487,1,0
Otu00149,Otu00488,1,0
Otu00415,Otu00488,1,0
Otu00273,Otu00489,1,0
Otu00116,Otu00499,1,0
Otu00253,Otu00499,1,0
Otu00331,Otu00499,1,0
Otu00367,Otu00499,1,0
Otu00116,Otu00500,1,0
Otu00253,Otu00500,1,0
Otu00331,Otu00500,1,0
Otu00367,Otu00500,1,0
Otu00499,Otu00500,1,0
Otu00380,Otu00503,1,0
Otu00380,Otu00506,1,0
Otu00503,Otu00506,1,0
Otu00262,Otu00515,1,0
Otu00262,Otu00520,1,0
Otu00515,Otu00520,1,0
Otu00150,Otu00521,1,0
Otu00366,Otu00521,1,0
Otu00403,Otu00521,1,0
Otu00408,Otu00521,1,0
Otu00421,Otu00521,1,0
Otu00451,Otu00521,1,0
Otu00476,Otu00521,1,0
Otu00150,Otu00531,1,0
Otu00366,Otu00531,1,0
Otu00403,Otu00531,1,0
Otu00408,Otu00531,1,0
Otu00421,Otu00531,1,0
Otu00451,Otu00531,1,0
Otu00476,Otu00531,1,0
Otu00521,Otu00531,1,0
Otu00262,Otu00533,1,0
Otu00515,Otu00533,1,0
Otu00520,Otu00533,1,0
Otu00217,Otu00539,1,0
Otu00226,Otu00539,1,0
Otu00376,Otu00553,1,0
Otu00376,Otu00556,1,0
Otu00553,Otu00556,1,0
Otu00149,Otu00557,1,0
Otu00415,Otu00557,1,0
Otu00488,Otu00557,1,0
Otu00376,Otu00563,1,0
Otu00553,Otu00563,1,0
Otu00556,Otu00563,1,0
Otu00149,Otu00564,1,0
Otu00415,Otu00564,1,0
Otu00488,Otu00564,1,0
Otu00557,Otu00564,1,0
Otu00441,Otu00574,1,0
Otu00208,Otu00579,1,0
Otu00257,Otu00579,1,0
Otu00376,Otu00580,1,0
Otu00553,Otu00580,1,0
Otu00556,Otu00580,1,0
Otu00563,Otu00580,1,0
Otu00211,Otu00582,1,0
Otu00218,Otu00582,1,0
Otu00247,Otu00582,1,0
Otu00248,Otu00582,1,0
Otu00354,Otu00582,1,0
Otu00273,Otu00583,1,0
Otu00489,Otu00583,1,0
Otu00211,Otu00585,1,0
Otu00218,Otu00585,1,0
Otu00247,Otu00585,1,0
Otu00248,Otu00585,1,0
Otu00354,Otu00585,1,0
Otu00582,Otu00585,1,0
Otu00150,Otu00588,1,0
Otu00366,Otu00588,1,0
Otu00403,Otu00588,1,0
Otu00408,Otu00588,1,0
Otu00421,Otu00588,1,0
Otu00451,Otu00588,1,0
Otu00476,Otu00588,1,0
Otu00521,Otu00588,1,0
Otu00531,Otu00588,1,0
Otu00262,Otu00595,1,0
Otu00515,Otu00595,1,0
Otu00520,Otu00595,1,0
Otu00533,Otu00595,1,0
Otu00208,Otu00600,1,0
Otu00257,Otu00600,1,0
Otu00579,Otu00600,1,0
Otu00380,Otu00602,1,0
Otu00503,Otu00602,1,0
Otu00506,Otu00602,1,0
Otu00116,Otu00608,1,0
Otu00253,Otu00608,1,0
Otu00331,Otu00608,1,0
Otu00367,Otu00608,1,0
Otu00499,Otu00608,1,0
Otu00500,Otu00608,1,0
Otu00150,Otu00617,1,0
Otu00366,Otu00617,1,0
Otu00403,Otu00617,1,0
Otu00408,Otu00617,1,0
Otu00421,Otu00617,1,0
Otu00451,Otu00617,1,0
Otu00476,Otu00617,1,0
Otu00521,Otu00617,1,0
Otu00531,Otu00617,1,0
Otu00588,Otu00617,1,0
Otu00222,Otu00620,1,0
Otu00274,Otu00620,1,0
Otu00286,Otu00620,1,0
Otu00297,Otu00620,1,0
Otu00116,Otu00621,1,0
Otu00253,Otu00621,1,0
Otu00331,Otu00621,1,0
Otu00367,Otu00621,1,0
Otu00499,Otu00621,1,0
Otu00500,Otu00621,1,0
